time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-23T14:15:02.631867,fp_a24b4d720c,4,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,330,75,405,1.00,1,1,0,0,0,0,0,0,
2023-11-23T14:15:07.997582,fp_a24b4d720c,4,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,370,65,435,1.00,3,3,0,0,0,0,0,0,
2023-11-23T14:15:21.651050,fp_a24b4d720c,4,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,316,144,460,1.00,4,4,0,0,0,0,0,0,
2023-11-23T14:15:27.225362,fp_a24b4d720c,4,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,50,382,1.00,3,3,0,0,0,0,0,0,
2023-11-23T14:15:36.020977,fp_a24b4d720c,4,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,329,118,447,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:15:44.261811,fp_a24b4d720c,4,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,329,112,441,1.00,4,4,0,0,0,0,0,0,
2023-11-23T14:15:50.929670,fp_a24b4d720c,4,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,335,85,420,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:15:58.964611,fp_a24b4d720c,4,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,332,113,445,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:16:08.123227,fp_a24b4d720c,4,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,(title in AnonLang),python3,al,0,0,336,129,465,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:16:23.364481,fp_a24b4d720c,4,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,137,491,0.60,8,5,0,0,3,0,0,0,
2023-11-23T14:16:36.927862,fp_a24b4d720c,4,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,189,487,1.00,4,4,0,0,0,0,0,0,
2023-11-23T14:16:41.709353,fp_a24b4d720c,4,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,359,39,398,1.00,10,10,0,0,0,0,0,0,
2023-11-23T14:17:01.216123,fp_a24b4d720c,4,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,346,269,615,1.00,6,6,0,0,0,0,0,0,
2023-11-23T14:17:05.039690,fp_a24b4d720c,4,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,373,23,396,1.00,4,4,0,0,0,0,0,0,
2023-11-23T14:17:10.040645,fp_a24b4d720c,4,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,34,388,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:17:39.575343,fp_a24b4d720c,4,3a353dbe-38c3-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,378,357,735,0.83,6,5,0,0,0,0,1,0,
2023-11-23T14:18:09.740554,fp_a24b4d720c,4,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,251,227,478,0.20,5,1,0,0,0,3,1,0,
2023-11-23T14:18:18.148567,fp_a24b4d720c,4,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,376,77,453,1.00,3,3,0,0,0,0,0,0,
2023-11-23T14:18:33.670286,fp_a24b4d720c,4,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,390,268,658,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:19:09.077843,fp_a24b4d720c,4,8330de2c-4dd1-11ec-986f-f39926f24a9c,Algoritmizace,,Sorted linked lists,python3,en,1,1,637,584,1221,1.00,10,10,0,0,0,0,0,0,
2023-11-23T14:19:18.639767,fp_a24b4d720c,4,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,377,121,498,1.00,3,3,0,0,0,0,0,0,
2023-11-23T14:19:27.256240,fp_a24b4d720c,4,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,328,111,439,1.00,5,5,0,0,0,0,0,0,
2023-11-23T14:19:55.567133,fp_a24b4d720c,4,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,422,329,751,1.00,4,4,0,0,0,0,0,0,
2023-11-23T14:20:06.041063,fp_a24b4d720c,4,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,401,110,511,1.00,6,6,0,0,0,0,0,0,
2023-11-23T14:20:17.955137,fp_a24b4d720c,4,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,421,168,589,0.60,15,9,0,0,6,0,0,0,
2023-11-23T14:20:26.966137,fp_a24b4d720c,4,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,413,91,504,1.00,6,6,0,0,0,0,0,0,
