time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-23T14:24:28.592676,fp_eeff13170a,4,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,330,82,412,1.00,1,1,0,0,0,0,0,0,
2023-11-23T14:24:47.541533,fp_eeff13170a,4,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),cs-dotnet-core,al,0,0,370,77,447,1.00,3,3,0,0,0,0,0,0,
2023-11-23T15:08:38.114495,fp_eeff13170a,4,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,316,70,386,1.00,4,4,0,0,0,0,0,0,
2023-11-23T15:18:44.300523,fp_eeff13170a,4,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,51,383,1.00,3,3,0,0,0,0,0,0,
2023-11-23T15:18:52.069234,fp_eeff13170a,4,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,329,81,410,0.20,5,1,0,0,4,0,0,0,
2023-11-23T15:18:56.615892,fp_eeff13170a,4,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,329,104,433,0.00,4,0,0,0,4,0,0,0,
2023-11-23T15:28:42.342338,fp_eeff13170a,4,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,335,70,405,1.00,5,5,0,0,0,0,0,0,
2023-11-23T15:28:50.391649,fp_eeff13170a,4,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,332,83,415,0.00,5,0,0,0,5,0,0,0,
2023-11-23T15:28:54.688872,fp_eeff13170a,4,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,(title in AnonLang),python3,al,0,0,336,28,364,1.00,5,5,0,0,0,0,0,0,
2023-11-23T15:37:50.143294,fp_eeff13170a,4,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,58,412,1.00,8,8,0,0,0,0,0,0,
2023-11-23T15:47:57.876530,fp_eeff13170a,4,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,83,381,1.00,4,4,0,0,0,0,0,0,
2023-11-23T15:48:06.166943,fp_eeff13170a,4,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,359,38,397,1.00,10,10,0,0,0,0,0,0,
2023-11-23T15:48:19.864982,fp_eeff13170a,4,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,346,272,618,1.00,6,6,0,0,0,0,0,0,
2023-11-23T15:50:25.207077,fp_eeff13170a,4,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,373,23,396,1.00,4,4,0,0,0,0,0,0,
2023-11-23T15:50:28.291835,fp_eeff13170a,4,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,354,22,376,1.00,5,5,0,0,0,0,0,0,
2023-11-23T15:50:38.957657,fp_eeff13170a,4,3a353dbe-38c3-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,378,127,505,1.00,6,6,0,0,0,0,0,0,
2023-11-23T16:00:44.652194,fp_eeff13170a,4,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,251,50,301,0.40,5,2,0,0,3,0,0,0,
2023-11-23T16:00:47.953654,fp_eeff13170a,4,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,376,25,401,1.00,3,3,0,0,0,0,0,0,
2023-11-23T16:00:53.440265,fp_eeff13170a,4,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,390,97,487,1.00,5,5,0,0,0,0,0,0,
2023-11-23T16:00:59.986507,fp_eeff13170a,4,8330de2c-4dd1-11ec-986f-f39926f24a9c,Algoritmizace,,Sorted linked lists,python3,en,1,1,637,353,990,0.00,10,0,0,0,10,0,0,0,
2023-11-23T16:01:09.534702,fp_eeff13170a,4,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,377,102,479,1.00,3,3,0,0,0,0,0,0,
2023-11-23T16:01:15.346815,fp_eeff13170a,4,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,328,123,451,1.00,5,5,0,0,0,0,0,0,
2023-11-23T16:01:27.796718,fp_eeff13170a,4,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),c-gcc-linux,al,0,0,422,128,550,0.75,4,3,0,1,0,0,0,0,
2023-11-23T16:01:33.787171,fp_eeff13170a,4,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,401,22,423,0.00,6,0,0,0,6,0,0,0,
2023-11-23T16:01:41.799268,fp_eeff13170a,4,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,421,156,577,0.60,15,9,0,0,6,0,0,0,
2023-11-23T16:11:48.194446,fp_eeff13170a,4,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,413,104,517,1.00,6,6,0,0,0,0,0,0,
2023-11-23T16:21:52.549404,fp_eeff13170a,4,08deab74-85f8-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,429,40,469,1.00,5,5,0,0,0,0,0,0,
