time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg
2023-11-11T19:52:11.621596,fp_eeff13170a,3,e5acd5e5-9ce7-11ec-986f-f39926f24a9c,Programming I and II,,SIMPLE součin čísel,cs-dotnet-core,cs,0,0,330,76,406,1.00,1,1,0,0,0,0,0,0,
2023-11-11T19:52:15.126253,fp_eeff13170a,3,6d76ace8-9d58-11ec-986f-f39926f24a9c,Programming I and II,,SIMPLE soucet do stopky,cs-dotnet-core,cs,0,0,370,62,432,1.00,3,3,0,0,0,0,0,0,
2023-11-11T19:52:18.444682,fp_eeff13170a,3,aaada71f-f359-11e9-9ce9-00505601122b,Programming I and II,,Test prvočíselnosti,python3,cs,0,0,316,69,385,1.00,4,4,0,0,0,0,0,0,
2023-11-11T19:52:23.165939,fp_eeff13170a,3,c2ef29b9-2059-11ec-986f-f39926f24a9c,Programming I and II,,Sum of two integers,cs-dotnet-core,en,0,0,332,56,388,1.00,3,3,0,0,0,0,0,0,
2023-11-11T19:52:26.518815,fp_eeff13170a,3,b3550c17-f366-11e9-9ce9-00505601122b,Programming I and II,,Rozklad na prvočinitele,python3,cs,0,0,329,67,396,0.00,5,0,0,0,5,0,0,0,
2023-11-11T19:52:30.150628,fp_eeff13170a,3,97e6a026-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 3.1 Rozklad na prvočinitele,cs-dotnet-core,en,0,0,329,99,428,0.00,4,0,0,0,4,0,0,0,
2023-11-11T19:52:33.641937,fp_eeff13170a,3,b53b9a0d-e054-11e9-9ce9-00505601122b,Programming I and II,,P1M: Rozklad na součin prvočísel,python3,cs,0,0,335,55,390,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:52:47.943248,fp_eeff13170a,3,5342433c-f7bf-11e9-9ce9-00505601122b,Programming I and II,,P1M: Funkce na generování prvočísel,python3,cs,0,0,332,65,397,0.80,5,4,0,0,0,1,0,0,
2023-11-11T19:52:50.944117,fp_eeff13170a,3,5a661077-3302-11ec-986f-f39926f24a9c,Programming I and II,Algoritmizace,Kvadratický sort,python3,cs,0,0,336,23,359,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:53:00.711111,fp_eeff13170a,3,7b549a71-8d20-11e9-b0fd-00505601122b,Programming I and II,,5P 2.2 Druhé největší číslo - řádky,python3,cs,0,0,354,43,397,1.00,8,8,0,0,0,0,0,0,
2023-11-11T19:53:04.379940,fp_eeff13170a,3,39350fd0-a814-11e7-a937-00505601122b,Programming I and II,,Copy machine for numbers,c-gcc-linux,en,0,0,298,86,384,1.00,4,4,0,0,0,0,0,0,
2023-11-11T19:53:07.576925,fp_eeff13170a,3,61022673-e889-11e9-9ce9-00505601122b,Programming I and II,,Maximum,python3,cs,0,0,359,49,408,0.60,10,6,0,0,4,0,0,0,
2023-11-11T19:53:12.137070,fp_eeff13170a,3,ce2f6db1-3e13-11ec-986f-f39926f24a9c,Algoritmizace,,MergeSort,python3,cs,0,0,346,205,551,1.00,6,6,0,0,0,0,0,0,
2023-11-11T19:53:15.065849,fp_eeff13170a,3,7cb23ad4-e051-11e9-9ce9-00505601122b,Programming I and II,,P1M: Součet dvou čísel (ukázková úloha),python3,cs,0,0,373,23,396,1.00,4,4,0,0,0,0,0,0,
2023-11-11T19:53:17.996066,fp_eeff13170a,3,da2692cd-a7b1-11e7-a937-00505601122b,Programming I and II,,Počet slov ve větě,python3,cs,0,0,354,20,374,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:53:24.825640,fp_eeff13170a,3,3a353dbe-38c3-11ec-986f-f39926f24a9c,Algoritmizace,,Nejmenší chybějící kladné číslo,python3,cs,0,0,378,63,441,1.00,6,6,0,0,0,0,0,0,
2023-11-11T19:53:27.767094,fp_eeff13170a,3,0acd614b-5276-11ea-a595-00505601122b,Non-Procedural Programming,,Rotate a list,prolog,en,0,0,251,26,277,0.80,5,4,0,0,0,1,0,0,
2023-11-11T19:53:30.824810,fp_eeff13170a,3,1fe85de9-25b3-11ec-986f-f39926f24a9c,Programming I and II,,Ciferný součet,python3,cs,0,0,376,29,405,1.00,3,3,0,0,0,0,0,0,
2023-11-11T19:53:34.916148,fp_eeff13170a,3,8e13813d-e880-11e9-9ce9-00505601122b,Programming I and II,,P1M: Sčítání zlomků,python3,cs,0,0,390,159,549,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:53:35.274833,fp_eeff13170a,3,8330de2c-4dd1-11ec-986f-f39926f24a9c,Algoritmizace,,Sorted linked lists,python3,en,1,1,637,1,638,0.0,1,0,0,0,0,0,0,1,no filename provided
2023-11-11T19:53:38.976910,fp_eeff13170a,3,24b97e78-2036-11ec-986f-f39926f24a9c,Programming I and II,,Eratosthenovo síto,python3,cs,0,0,377,93,470,1.00,3,3,0,0,0,0,0,0,
2023-11-11T19:53:42.866260,fp_eeff13170a,3,69716b0c-a88d-11e7-a937-00505601122b,Programming I and II,,All correct bracketings,python3,en,0,0,328,76,404,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:53:53.669983,fp_eeff13170a,3,0d347e1e-a814-11e7-a937-00505601122b,Programming I and II,,Třídění spojákem,c-gcc-linux,cs,0,0,422,132,554,1.00,4,4,0,0,0,0,0,0,
2023-11-11T19:53:56.816779,fp_eeff13170a,3,81b2eec0-a7b3-11e7-a937-00505601122b,Programming I and II,,5P 5.1 Vypsání pole v opačném pořadí,python3,cs,0,0,401,38,439,0.15,6,1,0,0,5,0,0,0,
2023-11-11T19:54:04.541843,fp_eeff13170a,3,64a9972c-ea9f-11e9-9ce9-00505601122b,Programming I and II,,Průsečík úseček,python3,cs,0,0,421,267,688,0.67,15,10,0,0,5,0,0,0,
2023-11-11T19:54:08.873681,fp_eeff13170a,3,00c64bbc-28de-11ec-986f-f39926f24a9c,Programming I and II,,Eulerova funkce φ,python3,cs,0,0,413,107,520,1.00,6,6,0,0,0,0,0,0,
2023-11-11T19:54:12.148171,fp_eeff13170a,3,08deab74-85f8-11eb-a1a9-005056ad4f31,Programming I and II,,NumPy - x-ková matice,python3,cs,0,0,429,40,469,1.00,5,5,0,0,0,0,0,0,
2023-11-11T19:54:15.440631,fp_eeff13170a,3,e5ce30fb-3c22-11ec-986f-f39926f24a9c,Programming I and II,,Druhá největší hodnota,python3,cs,0,0,425,40,465,1.00,11,11,0,0,0,0,0,0,
