time,fprint,seed,id,group1,group2,name,runtime,lang,num_atts,sub_atts,in_tokens,out_tokens,total_tokens,score,tests,passed,comp_err,rt_err,wrong_output,time_limit,mem_limit,other_err,error_msg,
2023-11-08T13:21:28.393,fp_eeff13170a,1,91e0cb16-34ad-42b0-b17c-39a8e0747a47,Programming I and II,,Fibonacci numbers,python3,en,0,0,340,54,394,0.1,10,1,0,0,9,0,0,0,,
2023-11-08T13:21:31.573,fp_eeff13170a,1,0f783909-2eb1-11ec-986f-f39926f24a9c,Programming I and II,,(title in AnonLang),python3,al,0,0,404,44,448,1,3,3,0,0,0,0,0,0,,
2023-11-08T13:21:35.360,fp_eeff13170a,1,3485ea4f-7205-11ec-986f-f39926f24a9c,Algoritmizace,,(title in AnonLang),python3,al,0,0,421,183,604,0,4,0,0,3,1,0,0,0,,
2023-11-08T13:21:41.642,fp_eeff13170a,1,62597d41-5272-11ea-a595-00505601122b,Non-Procedural Programming,,Disjoint split,prolog,en,0,0,315,53,368,0.25,4,1,0,0,3,0,0,0,,
2023-11-08T13:21:46.905,fp_eeff13170a,1,1076ec35-90b8-11ec-986f-f39926f24a9c,Non-Procedural Programming,,(title in AnonLang),prolog,al,0,0,378,89,467,0.14,7,1,0,5,1,0,0,0,,
2023-11-08T13:21:50.104,fp_eeff13170a,1,bb1a0d53-f366-11e9-9ce9-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,430,54,484,1,4,4,0,0,0,0,0,0,,
2023-11-08T13:21:58.090,fp_eeff13170a,1,0753f090-a88c-11e7-a937-00505601122b,Programming I and II,,Prime factorization,cs-dotnet-core,en,0,0,396,77,473,1,10,10,0,0,0,0,0,0,,
2023-11-08T13:22:01.043,fp_eeff13170a,1,bd877440-85fa-11eb-a1a9-005056ad4f31,Programming I and II,,(title in AnonLang),python3,al,0,0,457,46,503,1,5,5,0,0,0,0,0,0,,
2023-11-08T13:22:04.554,fp_eeff13170a,1,85eb2866-a7b3-11e7-a937-00505601122b,Programming I and II,,(title in AnonLang),python3,al,0,0,422,95,517,0,6,0,0,6,0,0,0,0,,
2023-11-08T13:22:08.080,fp_eeff13170a,1,76a7adc9-a88f-11e7-a937-00505601122b,Programming I and II,,Decomposition into sums,python3,en,0,0,369,115,484,0,5,0,0,0,5,0,0,0,,
